query_id,igv_id,title,url,baseline_rank,rrf_score,ThEM,ThSM,GeoEM,GeoRM,TempEM,TempCM,TGI,TGTI
Q01,66d5a235f71a5d7a732e7805,Interactive Future Radar Forecast Next 12 to 72 Hours,https://www.iweathernet.com/interactive-radar,1,0.032786885,0.571428571,0.897748232,1,1,0,,0.734588402,
Q01,66d5a153f71a5d7a732e77fb,National Weather Service - Graphical Forecast,https://digital.weather.gov/,2,0.031746032,0.285714286,0.855200648,0,0,1,,0,
Q01,66d5a17ff71a5d7a732e77fd,"Ventusky - Wind, Rain and Temperature Maps",https://www.ventusky.com/,3,0.030621786,0.428571429,0.86137104,0,0,1,,0,
Q01,66d62c8a4c92b073b2002b9e,WRAL Weather Radar | NC Weather Maps,https://www.wral.com/weather-map-center/8106570/,4,0.030550373,0.285714286,0.848038077,0,0,1,,0,
Q01,66d62ca04c92b073b2002b9f,Hydromet - Map View - Stream Flow and Weather,https://hydromet.lcra.org/,5,0.030550373,0.285714286,0.830607772,1,1,1,,0.558161029,
Q01,66d5a13cf71a5d7a732e77fa,WunderMap® | Interactive Weather Map and Radar | Weather Underground,https://www.wunderground.com/wundermap,6,0.029857398,0.285714286,0.849786282,0,0,1,,0,
Q01,66d6fae29842769ddfefe13a,NOAA Tides and Currents,https://tidesandcurrents.noaa.gov/,7,0.029469122,0,0.83827436,0,0.75,1,,0.157176442,
Q01,66d62cb54c92b073b2002ba0,"Südheide, Lower Saxony, DE | Weather Maps, Radar and Satellite | WeatherBug",https://www.weatherbug.com/maps,8,0.028778468,0.285714286,0.845670462,0,0,1,,0,
Q01,66d5a19bf71a5d7a732e77fe,NWS Radar,https://radar.weather.gov/,9,0.028219396,0.285714286,0.850956917,0,0,0,,0,
Q01,66d625a04c92b073b2002b51,GIS,https://www.weather.gov/gis/,10,0.027893738,0.142857143,0.845069885,0,0,0,,0,
Q01,66d6d84ad28af346fda0a9ac,CityApp,https://fitzlab.shinyapps.io/cityapp/,11,0.027579737,0,0.815227181,0,0.75,1,,0.152855096,
Q01,66d6d9eed28af346fda0a9be,FEMA Flood Map Service Center | Search By Address,https://msc.fema.gov/portal/search,12,0.026140526,0,0.798824489,0,0,1,,0,
Q01,66d5709d5e27b9bcf8ff9c3c,"earth :: a global map of wind, weather, and ocean conditions",https://earth.nullschool.net/#current/wind/surface/level/orthographic=-34.28 57.06 257/loc=-17.124 57.517,13,0.025516796,0,0.82857874,0,0,1,,0,
Q01,66d5a1c4f71a5d7a732e7800,"earth :: a global map of wind, weather, and ocean conditions",https://earth.nullschool.net/,14,0.025516796,0,0.82857874,0,0,1,,0,
Q01,66d62c754c92b073b2002b9d,Radar Data,https://www.ncei.noaa.gov/maps/radar/,15,0.025182135,0.142857143,0.816904545,0,0,0,,0,
Q01,66e888fedca1e1ff7088bd24,Weather Prediction Center,https://www.wpc.ncep.noaa.gov/NationalForecastChart/map.php,16,0.025035206,0.285714286,0.80977881,0,0,0,,0,
Q01,66d5a169f71a5d7a732e77fc,Interactive weather maps - OpenWeatherMap,https://openweathermap.org/weathermap,17,0.0248779,0.142857143,0.848115653,0,0,0,,0,
Q01,66d70afd9842769ddfefe1ee,Harris County Flood Education Mapping Tool,https://www.harriscountyfemt.org/,18,0.024868706,0,0.802082062,1,1,0,,0.401041031,
Q01,66d6fefb9842769ddfefe168,Billion-Dollar Weather and Climate Disasters | National Centers for Environmental Information (NCEI),https://www.ncei.noaa.gov/access/billions/mapping,19,0.024264706,0.142857143,0.81406799,0,0.75,0,,0.179423462,
